TransactionID,CustomerOccupation,TransactionType,Average_CustomerAge,sum_transaction
TX000081,Engineer,Debit,38.0000,183.71
TX000082,Engineer,Credit,58.0000,345.39
TX000083,Retired,Debit,63.0000,922.55
TX000084,Doctor,Debit,49.0000,259.91
TX000085,Doctor,Debit,34.0000,154.71
TX000086,Engineer,Credit,54.0000,1340.19
TX000087,Doctor,Debit,64.0000,24.56
TX000088,Doctor,Debit,48.0000,568.07
TX000089,Doctor,Credit,58.0000,9.61
TX000090,Student,Debit,24.0000,392.96
TX000091,Retired,Credit,60.0000,716.93
TX000092,Engineer,Debit,53.0000,223.85
TX000093,Student,Debit,21.0000,230.66
TX000094,Student,Debit,19.0000,442.12
TX000095,Engineer,Debit,29.0000,644.17
TX000096,Engineer,Credit,51.0000,508.68
TX000097,Student,Credit,27.0000,858.63
TX000098,Engineer,Debit,57.0000,25.36
TX000099,Retired,Debit,71.0000,147.62
TX000100,Doctor,Debit,37.0000,115.02
TX000101,Engineer,Debit,30.0000,383.37
TX000102,Student,Credit,20.0000,98.54
TX000103,Doctor,Credit,55.0000,83.24
TX000104,Engineer,Debit,27.0000,196.16
TX000105,Engineer,Debit,32.0000,129.94
TX000106,Engineer,Debit,46.0000,306.9
TX000107,Retired,Debit,59.0000,114.98
TX000108,Student,Debit,27.0000,756.59
TX000109,Student,Debit,22.0000,503.76
TX000110,Retired,Debit,63.0000,143.03
TX000111,Retired,Debit,53.0000,1045.22
TX000112,Student,Debit,25.0000,245.54
TX000113,Engineer,Credit,51.0000,254.37
TX000114,Retired,Credit,78.0000,213.76
TX000115,Engineer,Debit,40.0000,327.86
TX000116,Doctor,Debit,47.0000,2.5
TX000117,Doctor,Credit,68.0000,300.08
TX000118,Engineer,Credit,43.0000,56.98
TX000119,Engineer,Debit,26.0000,407.65
TX000120,Engineer,Debit,39.0000,115.83
TX000121,Retired,Debit,69.0000,53.57
TX000122,Doctor,Credit,46.0000,63.34
TX000123,Student,Debit,27.0000,317.87
TX000124,Engineer,Debit,41.0000,331.65
TX000125,Retired,Debit,56.0000,5.04
TX000126,Doctor,Credit,70.0000,214.54
TX000127,Doctor,Debit,57.0000,598.81
TX000128,Student,Debit,26.0000,841.28
TX000129,Student,Debit,26.0000,38.15
TX000130,Doctor,Debit,58.0000,1036.66
TX000131,Engineer,Debit,33.0000,124.72
TX000132,Retired,Credit,78.0000,302.45
TX000133,Engineer,Debit,47.0000,208.04
TX000134,Student,Credit,23.0000,5.77
TX000135,Doctor,Debit,56.0000,381.33
TX000136,Doctor,Debit,50.0000,16.16
TX000137,Student,Debit,18.0000,486.08
TX000138,Student,Debit,21.0000,336.39
TX000139,Doctor,Debit,69.0000,997.43
TX000140,Student,Debit,23.0000,234.57
TX000141,Doctor,Debit,30.0000,6
TX000142,Retired,Debit,80.0000,1049.92
TX000143,Student,Debit,18.0000,227.14
TX000144,Retired,Credit,66.0000,233.74
TX000145,Retired,Credit,69.0000,113.02
TX000146,Student,Debit,20.0000,45.85
TX000147,Retired,Debit,77.0000,973.39
TX000148,Doctor,Debit,41.0000,514.95
TX000149,Doctor,Debit,66.0000,415.5
TX000150,Retired,Debit,54.0000,265.76
TX000151,Retired,Debit,80.0000,69.4
TX000152,Engineer,Credit,35.0000,332.93
TX000153,Student,Debit,20.0000,267.9
TX000154,Doctor,Debit,61.0000,496.03
TX000155,Engineer,Debit,37.0000,376.26
TX000156,Engineer,Credit,36.0000,83.02
TX000157,Student,Credit,20.0000,93.26
TX000158,Doctor,Credit,68.0000,803.37
TX000159,Student,Debit,23.0000,35.76
TX000160,Doctor,Debit,62.0000,28.53
TX000161,Doctor,Credit,53.0000,139.53
TX000162,Doctor,Debit,33.0000,307.57
TX000163,Retired,Credit,56.0000,60.65
TX000164,Doctor,Debit,70.0000,74.86
TX000165,Retired,Debit,51.0000,117.97
TX000166,Engineer,Debit,34.0000,231.91
TX000167,Retired,Debit,75.0000,126.21
TX000168,Retired,Credit,53.0000,506.28
TX000169,Engineer,Debit,31.0000,304.35
TX000170,Student,Debit,22.0000,281.85
TX000171,Engineer,Debit,31.0000,777.88
TX000172,Retired,Debit,56.0000,119.18
TX000173,Retired,Debit,76.0000,177.19
TX000174,Student,Debit,22.0000,260.88
TX000175,Student,Debit,24.0000,169.47
TX000176,Student,Debit,26.0000,73.23
TX000177,Engineer,Debit,29.0000,1362.55
TX000178,Student,Debit,19.0000,792.57
TX000179,Retired,Debit,71.0000,237.06
TX000180,Engineer,Credit,54.0000,34.17
TX000181,Doctor,Debit,41.0000,740.25
TX000182,Doctor,Debit,58.0000,453.54
TX000183,Retired,Debit,73.0000,300.47
TX000184,Student,Credit,19.0000,110.93
TX000185,Doctor,Debit,59.0000,201.69
TX000186,Engineer,Debit,59.0000,399.21
TX000187,Retired,Debit,78.0000,1041.88
TX000188,Retired,Debit,62.0000,630.36
TX000189,Engineer,Credit,60.0000,10.94
TX000190,Doctor,Debit,38.0000,215.9
TX000191,Retired,Debit,79.0000,1422.55
TX000192,Doctor,Credit,49.0000,226.37
TX000193,Doctor,Credit,43.0000,444.89
TX000194,Student,Credit,25.0000,280.57
TX000195,Engineer,Debit,52.0000,488.54
TX000196,Doctor,Credit,50.0000,3.3
TX000197,Retired,Debit,69.0000,199.39
TX000198,Retired,Debit,62.0000,20.36
TX000199,Retired,Debit,62.0000,113.64
TX000200,Retired,Debit,53.0000,493.11
TX000201,Student,Debit,19.0000,307.41
TX000202,Doctor,Debit,43.0000,11.18
TX000203,Engineer,Debit,59.0000,313.82
TX000204,Retired,Debit,64.0000,51
TX000205,Engineer,Debit,60.0000,140.98
TX000206,Retired,Debit,68.0000,288.04
TX000207,Engineer,Debit,31.0000,800.55
TX000208,Engineer,Debit,46.0000,485.54
TX000209,Doctor,Debit,54.0000,521.15
TX000210,Retired,Credit,63.0000,321.79
TX000211,Doctor,Debit,65.0000,304.93
TX000212,Doctor,Debit,40.0000,432.08
TX000213,Retired,Debit,61.0000,694.2
TX000214,Engineer,Debit,55.0000,116.86
TX000215,Doctor,Credit,57.0000,386.81
TX000216,Student,Debit,25.0000,74.88
TX000217,Retired,Debit,75.0000,195.76
TX000218,Doctor,Debit,50.0000,134.7
TX000219,Engineer,Credit,33.0000,890.24
TX000220,Doctor,Debit,63.0000,361.27
TX000221,Doctor,Debit,44.0000,131.56
TX000222,Retired,Credit,76.0000,485.51
TX000223,Retired,Debit,64.0000,547.87
TX000224,Engineer,Debit,28.0000,457.3
TX000225,Engineer,Debit,58.0000,506.24
TX000226,Retired,Debit,57.0000,486.59
TX000227,Doctor,Debit,41.0000,163.68
TX000228,Student,Debit,22.0000,581.65
TX000229,Doctor,Debit,48.0000,52.01
TX000230,Student,Debit,21.0000,630.24
TX000231,Doctor,Debit,43.0000,523.74
TX000232,Doctor,Debit,40.0000,705.6
TX000233,Engineer,Credit,46.0000,217.5
TX000234,Doctor,Debit,51.0000,91.48
TX000235,Doctor,Debit,39.0000,5.25
TX000236,Retired,Credit,56.0000,54.03
TX000237,Engineer,Debit,48.0000,736.73
TX000238,Doctor,Debit,54.0000,368.91
TX000239,Retired,Credit,53.0000,33.06
TX000240,Engineer,Credit,32.0000,66.5
TX000241,Doctor,Debit,35.0000,177.08
TX000242,Engineer,Debit,32.0000,588.54
TX000243,Student,Debit,21.0000,173.5
TX000244,Engineer,Credit,56.0000,78.33
TX000245,Retired,Debit,59.0000,40.66
TX000246,Retired,Credit,77.0000,97.22
TX000247,Student,Debit,22.0000,34.07
TX000248,Student,Debit,23.0000,492.06
TX000249,Doctor,Credit,53.0000,842.01
TX000250,Engineer,Debit,51.0000,73.55
TX000251,Engineer,Debit,57.0000,760.53
TX000252,Engineer,Credit,26.0000,273.08
TX000253,Retired,Debit,67.0000,371.69
TX000254,Student,Debit,18.0000,218.96
TX000255,Student,Debit,18.0000,227.39
TX000256,Doctor,Credit,39.0000,237.99
TX000257,Doctor,Debit,58.0000,186.6
TX000258,Student,Debit,18.0000,341.15
TX000259,Doctor,Debit,59.0000,434.58
TX000260,Engineer,Credit,54.0000,312.88
TX000261,Student,Debit,23.0000,75.15
TX000262,Engineer,Debit,59.0000,23.3
TX000263,Student,Credit,25.0000,47.38
TX000264,Retired,Debit,79.0000,512.81
TX000265,Engineer,Debit,43.0000,488.15
TX000266,Engineer,Debit,44.0000,12.82
TX000267,Retired,Credit,79.0000,66.9
TX000268,Engineer,Debit,43.0000,535.91
TX000269,Engineer,Credit,26.0000,270.72
TX000270,Retired,Debit,72.0000,97.98
TX000271,Retired,Debit,61.0000,196.08
TX000272,Engineer,Debit,42.0000,251.18
TX000273,Student,Debit,28.0000,44.52
TX000274,Doctor,Debit,35.0000,178.87
TX000275,Engineer,Credit,54.0000,1176.28
TX000276,Doctor,Debit,46.0000,386.68
TX000277,Retired,Debit,76.0000,167.14
TX000278,Retired,Debit,69.0000,345.22
TX000279,Retired,Debit,72.0000,74.85
TX000280,Engineer,Debit,58.0000,671.73
TX000281,Engineer,Debit,45.0000,255.04
TX000282,Student,Debit,25.0000,45.77
TX000283,Student,Credit,26.0000,329.69
TX000284,Doctor,Credit,58.0000,362.04
TX000285,Doctor,Debit,53.0000,11.92
TX000286,Doctor,Debit,64.0000,47.42
TX000287,Retired,Debit,63.0000,35.99
TX000288,Doctor,Credit,37.0000,151.19
TX000289,Student,Credit,22.0000,242.62
TX000290,Student,Debit,21.0000,48.72
TX000291,Student,Debit,25.0000,43.46
TX000292,Student,Debit,25.0000,1036.21
TX000293,Retired,Debit,53.0000,443.79
TX000294,Retired,Debit,68.0000,365.14
TX000295,Student,Debit,22.0000,757.41
TX000296,Engineer,Debit,51.0000,20.54
TX000297,Engineer,Debit,34.0000,475.36
TX000298,Retired,Debit,56.0000,34.74
TX000299,Student,Debit,27.0000,689.54
TX000300,Retired,Debit,73.0000,211.18
TX000301,Engineer,Credit,51.0000,211.36
TX000302,Engineer,Credit,39.0000,744.41
TX000303,Student,Debit,24.0000,61.43
TX000304,Doctor,Debit,37.0000,167.44
TX000305,Student,Debit,21.0000,361.46
TX000306,Retired,Debit,78.0000,378.85
TX000307,Doctor,Debit,30.0000,241.11
TX000308,Engineer,Credit,31.0000,131.93
TX000309,Engineer,Debit,36.0000,20.28
TX000310,Doctor,Debit,70.0000,415.88
TX000311,Retired,Debit,62.0000,49.99
TX000312,Student,Debit,27.0000,1221.65
TX000313,Doctor,Debit,50.0000,100.66
TX000314,Student,Debit,19.0000,485.54
TX000315,Doctor,Debit,46.0000,321.15
TX000316,Student,Debit,21.0000,711.3
TX000317,Engineer,Debit,42.0000,12.23
TX000318,Student,Debit,20.0000,350.94
TX000319,Engineer,Debit,54.0000,301.85
TX000320,Retired,Debit,65.0000,29.34
TX000321,Student,Debit,27.0000,231.71
TX000322,Retired,Debit,58.0000,179.43
TX000323,Doctor,Debit,48.0000,36.71
TX000324,Doctor,Credit,53.0000,138.12
TX000325,Engineer,Debit,33.0000,233.24
TX000326,Engineer,Debit,39.0000,609.14
TX000327,Doctor,Debit,31.0000,436.64
TX000328,Doctor,Debit,29.0000,870.43
TX000329,Retired,Debit,74.0000,354.4
TX000330,Engineer,Debit,53.0000,22.63
TX000331,Student,Debit,26.0000,182.19
TX000332,Engineer,Debit,26.0000,126.81
TX000333,Engineer,Debit,37.0000,288.17
TX000334,Engineer,Debit,55.0000,118.77
TX000335,Student,Debit,21.0000,651.82
TX000336,Engineer,Debit,37.0000,66.65
TX000337,Retired,Debit,69.0000,98.53
TX000338,Retired,Debit,71.0000,138.95
TX000339,Student,Debit,26.0000,33.89
TX000340,Doctor,Debit,58.0000,23.71
TX000341,Engineer,Debit,55.0000,1830
TX000342,Doctor,Debit,65.0000,26.06
TX000343,Engineer,Debit,27.0000,17.07
TX000344,Engineer,Debit,46.0000,703.89
TX000345,Engineer,Debit,47.0000,1271.9
TX000346,Retired,Debit,77.0000,26.55
TX000347,Engineer,Debit,42.0000,147.4
TX000348,Student,Debit,27.0000,202.11
TX000349,Retired,Debit,75.0000,308.42
TX000350,Engineer,Debit,53.0000,11.18
TX000351,Engineer,Debit,38.0000,294.15
TX000352,Engineer,Debit,54.0000,29.58
TX000353,Student,Debit,27.0000,139.45
TX000354,Doctor,Debit,29.0000,432.63
TX000355,Doctor,Debit,43.0000,131.43
TX000356,Engineer,Debit,42.0000,516.72
TX000357,Doctor,Debit,69.0000,121.82
TX000358,Student,Credit,26.0000,374.5
TX000359,Doctor,Debit,68.0000,166.13
TX000360,Student,Debit,23.0000,626.9
TX000361,Retired,Debit,56.0000,466.85
TX000362,Retired,Debit,58.0000,788.84
TX000363,Doctor,Credit,37.0000,873.65
TX000364,Retired,Debit,69.0000,525.28
TX000365,Engineer,Debit,30.0000,110.17
TX000366,Retired,Debit,80.0000,632.69
TX000367,Retired,Debit,72.0000,124.35
TX000368,Retired,Debit,62.0000,43.85
TX000369,Student,Debit,28.0000,283.81
TX000370,Retired,Debit,71.0000,168.53
TX000371,Engineer,Credit,40.0000,218.59
TX000372,Student,Debit,21.0000,132.84
TX000373,Doctor,Credit,42.0000,157.37
TX000374,Student,Debit,20.0000,144.77
TX000375,Doctor,Debit,64.0000,643.22
TX000376,Doctor,Debit,41.0000,1392.54
TX000377,Doctor,Debit,32.0000,208.07
TX000378,Doctor,Debit,57.0000,94.3
TX000379,Retired,Debit,59.0000,295.5
TX000380,Doctor,Debit,44.0000,30.23
TX000381,Student,Credit,26.0000,112.05
TX000382,Engineer,Debit,58.0000,180.24
TX000383,Engineer,Credit,38.0000,13.71
TX000384,Retired,Debit,58.0000,96.54
TX000385,Retired,Debit,67.0000,79.35
TX000386,Student,Debit,27.0000,101.04
TX000387,Engineer,Debit,49.0000,74.42
TX000388,Engineer,Debit,52.0000,39.66
TX000389,Doctor,Debit,40.0000,99.36
TX000390,Engineer,Debit,56.0000,123.85
TX000391,Student,Debit,19.0000,426.93
TX000392,Student,Credit,25.0000,133.73
TX000393,Engineer,Debit,49.0000,222.39
TX000394,Student,Credit,22.0000,215.94
TX000395,Retired,Debit,80.0000,6.3
TX000396,Doctor,Debit,29.0000,826.23
TX000397,Engineer,Debit,35.0000,416.37
TX000398,Retired,Debit,67.0000,131.46
TX000399,Doctor,Credit,61.0000,202.86
TX000400,Student,Debit,26.0000,268.39
TX000401,Student,Debit,23.0000,194.85
TX000402,Doctor,Credit,40.0000,137.35
TX000403,Doctor,Debit,44.0000,712.75
TX000404,Doctor,Debit,42.0000,353.82
TX000405,Retired,Debit,73.0000,507.25
TX000406,Engineer,Debit,27.0000,212.74
TX000407,Engineer,Debit,51.0000,364.42
TX000408,Doctor,Debit,46.0000,195.12
TX000409,Retired,Debit,80.0000,230.61
TX000410,Doctor,Credit,58.0000,739.28
TX000411,Doctor,Credit,64.0000,390.35
TX000412,Engineer,Debit,58.0000,242.03
TX000413,Student,Credit,18.0000,242.39
TX000414,Student,Debit,23.0000,135.03
TX000415,Retired,Debit,61.0000,83.5
TX000416,Retired,Debit,80.0000,193.54
TX000417,Engineer,Debit,29.0000,617.36
TX000418,Doctor,Credit,59.0000,775.23
TX000419,Retired,Debit,72.0000,266.57
TX000420,Engineer,Debit,45.0000,153.4
TX000421,Retired,Debit,53.0000,946.94
TX000422,Engineer,Debit,34.0000,5.12
TX000423,Engineer,Debit,57.0000,119.11
TX000424,Student,Debit,24.0000,1096.7
TX000425,Engineer,Debit,30.0000,119.72
TX000426,Doctor,Debit,58.0000,107.4
TX000427,Retired,Debit,53.0000,115.92
TX000428,Retired,Debit,67.0000,438.04
TX000429,Engineer,Debit,27.0000,677.29
TX000430,Doctor,Debit,35.0000,296
TX000431,Engineer,Credit,36.0000,299.09
TX000432,Student,Credit,24.0000,461.52
TX000433,Engineer,Debit,50.0000,100.52
TX000434,Retired,Debit,66.0000,85.35
TX000435,Engineer,Debit,39.0000,79.76
TX000436,Retired,Credit,75.0000,778.49
TX000437,Engineer,Debit,42.0000,386.38
TX000438,Doctor,Debit,35.0000,165.25
TX000439,Engineer,Debit,34.0000,14.29
TX000440,Retired,Credit,55.0000,232.79
TX000441,Engineer,Credit,60.0000,1237.56
TX000442,Engineer,Debit,54.0000,92.29
TX000443,Retired,Debit,68.0000,293.97
TX000444,Student,Debit,19.0000,136.32
TX000445,Doctor,Debit,36.0000,251.06
TX000446,Retired,Credit,77.0000,50.17
TX000447,Engineer,Debit,34.0000,21.4
TX000448,Student,Debit,21.0000,73.28
TX000449,Doctor,Debit,38.0000,70.23
TX000450,Student,Debit,22.0000,689.29
TX000451,Student,Debit,28.0000,745.03
TX000452,Engineer,Debit,58.0000,54.61
TX000453,Student,Debit,27.0000,54.05
TX000454,Retired,Debit,67.0000,107.47
TX000455,Student,Debit,20.0000,611.11
TX000456,Doctor,Debit,48.0000,219.63
TX000457,Retired,Debit,54.0000,188.7
TX000458,Engineer,Debit,51.0000,93.52
TX000459,Retired,Credit,62.0000,275.92
TX000460,Retired,Debit,68.0000,376.79
TX000461,Retired,Debit,66.0000,8.98
TX000462,Retired,Debit,68.0000,697.32
TX000463,Student,Debit,18.0000,17.45
TX000464,Retired,Debit,80.0000,302.16
TX000465,Student,Debit,23.0000,442.74
TX000466,Student,Debit,27.0000,623.9
TX000467,Doctor,Debit,35.0000,445.41
TX000468,Student,Debit,26.0000,63.41
TX000469,Doctor,Debit,44.0000,346.85
TX000470,Engineer,Credit,59.0000,71.95
TX000471,Retired,Debit,63.0000,7.5
TX000472,Retired,Debit,65.0000,206.46
TX000473,Engineer,Debit,60.0000,423.11
TX000474,Retired,Credit,54.0000,35.84
TX000475,Student,Credit,28.0000,88.6
TX000476,Student,Debit,18.0000,1431.3
TX000477,Engineer,Credit,55.0000,53.81
TX000478,Retired,Debit,54.0000,22.46
TX000479,Student,Debit,21.0000,334.89
TX000480,Retired,Credit,54.0000,319.27
TX000481,Student,Debit,18.0000,144.3
TX000482,Retired,Credit,69.0000,348.7
TX000483,Doctor,Debit,62.0000,366.21
TX000484,Retired,Debit,55.0000,99.11
TX000485,Retired,Debit,55.0000,539.35
TX000486,Engineer,Debit,58.0000,188.99
TX000487,Engineer,Debit,46.0000,1416.69
TX000488,Student,Debit,26.0000,710.14
TX000489,Doctor,Debit,53.0000,308.68
TX000490,Retired,Debit,57.0000,166.68
TX000491,Engineer,Debit,45.0000,0.99
TX000492,Doctor,Debit,30.0000,505.19
TX000493,Student,Debit,23.0000,66.58
TX000494,Retired,Debit,77.0000,223.43
TX000495,Engineer,Debit,60.0000,659.95
TX000496,Student,Debit,27.0000,634.86
TX000497,Engineer,Credit,30.0000,286.5
TX000498,Retired,Credit,76.0000,322.96
TX000499,Student,Debit,19.0000,654.48
TX000500,Doctor,Debit,48.0000,157.97
TX000501,Doctor,Debit,40.0000,120.9
TX000502,Engineer,Debit,57.0000,254.77
TX000503,Retired,Debit,65.0000,795.96
TX000504,Engineer,Debit,39.0000,149.25
TX000505,Doctor,Credit,43.0000,3.42
TX000506,Doctor,Credit,40.0000,68.19
TX000507,Engineer,Debit,39.0000,493.42
TX000508,Retired,Debit,57.0000,37.57
TX000509,Student,Credit,19.0000,127
TX000510,Retired,Debit,59.0000,96.89
TX000511,Student,Debit,25.0000,448.33
TX000512,Engineer,Debit,51.0000,1116.48
TX000513,Doctor,Debit,48.0000,8.65
TX000514,Engineer,Debit,41.0000,65.57
TX000515,Engineer,Debit,46.0000,539.81
TX000516,Retired,Debit,63.0000,363.53
TX000517,Retired,Credit,51.0000,64.9
TX000518,Student,Debit,18.0000,358.18
TX000519,Doctor,Debit,30.0000,167.2
TX000520,Doctor,Debit,60.0000,121.91
TX000521,Engineer,Debit,54.0000,137.57
TX000522,Doctor,Debit,55.0000,534.62
TX000523,Engineer,Debit,50.0000,463.92
TX000524,Retired,Debit,60.0000,320.14
TX000525,Student,Debit,28.0000,214.93
TX000526,Student,Debit,20.0000,660.02
TX000527,Engineer,Debit,40.0000,345.81
TX000528,Retired,Debit,71.0000,143.54
TX000529,Engineer,Debit,53.0000,42.55
TX000530,Student,Credit,21.0000,1063.25
TX000531,Student,Debit,22.0000,541.79
TX000532,Student,Debit,26.0000,40.57
TX000533,Student,Debit,18.0000,120.24
TX000534,Student,Debit,28.0000,498.67
TX000535,Doctor,Debit,53.0000,227.22
TX000536,Engineer,Debit,30.0000,1182.86
TX000537,Retired,Credit,76.0000,56.94
TX000538,Retired,Debit,68.0000,629.82
TX000539,Engineer,Debit,35.0000,59.44
TX000540,Engineer,Debit,30.0000,186.69
TX000541,Student,Debit,19.0000,230.46
TX000542,Engineer,Credit,44.0000,65.09
TX000543,Engineer,Credit,55.0000,457.09
TX000544,Engineer,Credit,44.0000,552.02
TX000545,Engineer,Debit,34.0000,377.12
TX000546,Student,Credit,18.0000,204.56
TX000547,Doctor,Debit,35.0000,420.28
TX000548,Student,Debit,24.0000,97.09
TX000549,Student,Debit,27.0000,124.59
TX000550,Doctor,Debit,39.0000,73.88
TX000551,Student,Debit,21.0000,77.43
TX000552,Doctor,Debit,56.0000,106.16
TX000553,Engineer,Debit,54.0000,245.93
TX000554,Doctor,Debit,64.0000,622.41
TX000555,Doctor,Debit,34.0000,43.73
TX000556,Student,Debit,19.0000,1282.86
TX000557,Engineer,Credit,33.0000,2.03
TX000558,Doctor,Debit,31.0000,770.65
TX000559,Doctor,Debit,63.0000,260.31
TX000560,Student,Credit,26.0000,356.1
TX000561,Retired,Credit,80.0000,27.07
TX000562,Doctor,Debit,67.0000,119.89
TX000563,Doctor,Debit,37.0000,106.39
TX000564,Engineer,Debit,37.0000,12.04
TX000565,Student,Debit,21.0000,365.7
TX000566,Student,Credit,28.0000,29.38
TX000567,Doctor,Debit,60.0000,319.85
TX000568,Retired,Credit,75.0000,350.14
TX000569,Retired,Credit,52.0000,163.94
TX000570,Student,Debit,24.0000,170.53
TX000571,Engineer,Credit,40.0000,262.22
TX000572,Student,Debit,24.0000,41.49
TX000573,Engineer,Credit,52.0000,121.43
TX000574,Retired,Debit,51.0000,350.46
TX000575,Engineer,Credit,26.0000,220.41
TX000576,Retired,Debit,72.0000,33.46
TX000577,Doctor,Debit,70.0000,104.79
TX000578,Doctor,Debit,29.0000,246.27
TX000579,Student,Debit,19.0000,48.85
TX000580,Retired,Debit,69.0000,332
TX000581,Engineer,Debit,54.0000,118.1
TX000582,Doctor,Credit,67.0000,84.59
TX000583,Student,Debit,21.0000,295.64
TX000584,Student,Debit,25.0000,514.33
TX000585,Doctor,Debit,43.0000,992.17
TX000586,Doctor,Debit,39.0000,94.59
TX000587,Retired,Debit,59.0000,80.43
TX000588,Doctor,Debit,68.0000,54.25
TX000589,Retired,Credit,76.0000,178.88
TX000590,Student,Debit,22.0000,518.85
TX000591,Doctor,Debit,54.0000,10.65
TX000592,Student,Credit,27.0000,198.62
TX000593,Student,Debit,27.0000,107.03
TX000594,Student,Debit,19.0000,139.57
TX000595,Engineer,Debit,49.0000,312.47
TX000596,Engineer,Debit,41.0000,346.11
TX000597,Engineer,Debit,44.0000,138.06
TX000598,Engineer,Debit,49.0000,158.02
TX000599,Retired,Credit,66.0000,830.01
TX000600,Retired,Debit,55.0000,435.5
TX000601,Doctor,Debit,57.0000,110.49
TX000602,Doctor,Debit,34.0000,329.4
TX000603,Doctor,Debit,47.0000,635.4
TX000604,Student,Debit,22.0000,769.97
TX000605,Student,Debit,26.0000,175.07
TX000606,Retired,Debit,78.0000,7.31
TX000607,Student,Debit,27.0000,175.15
TX000608,Student,Debit,25.0000,32.54
TX000609,Doctor,Debit,60.0000,121.82
TX000610,Doctor,Debit,30.0000,56.12
TX000611,Retired,Credit,56.0000,424.7
TX000612,Engineer,Debit,32.0000,35.16
TX000613,Doctor,Debit,65.0000,35.73
TX000614,Retired,Debit,78.0000,3.44
TX000615,Student,Credit,21.0000,1342.25
TX000616,Engineer,Credit,50.0000,139.03
TX000617,Engineer,Credit,28.0000,254.92
TX000618,Engineer,Debit,28.0000,115.11
TX000619,Retired,Debit,57.0000,171.11
TX000620,Doctor,Debit,70.0000,168.54
TX000621,Retired,Debit,51.0000,420.76
TX000622,Retired,Debit,64.0000,408.46
TX000623,Doctor,Credit,30.0000,1162.42
TX000624,Student,Credit,21.0000,342.17
